ROW_CSS_CLASS	name	name_HREF	bash	dash	ash	zsh	mksh	ksh	toysh	sush	brush	osh
cpp-good	TOTAL		2164	986	1191	1265	1434	1470	811	1375	1553	2273
cpp-good	alias	alias.html	47	42	43	40	42	41	4	32	20	43
cpp-good	append	append.html	15	1	1	9	12	12	4	14	8	19
cpp-good	arith	arith.html	62	28	41	44	51	52	39	59	58	70
cpp-good	arith-context	arith-context.html	13	1	4	7	8	9	6	10	6	14
cpp-good	arith-dynamic	arith-dynamic.html	4	0	1	1	1	1	3	4	3	1
cpp-good	array	array.html	63	7	7	25	41	45	8	55	47	76
cpp-good	array-assign	array-assign.html	9	0	0	2	7	7	1	9	1	1
cpp-good	array-assoc	array-assoc.html	34	0	0	10	7	7	0	26	27	38
cpp-good	array-basic	array-basic.html	5	0	0	2	5	5	0	5	5	5
cpp-good	array-compat	array-compat.html	12	1	1	2	9	9	0	11	9	7
cpp-good	array-literal	array-literal.html	12	0	0	1	0	0	0	6	5	19
cpp-good	array-sparse	array-sparse.html	21	0	0	0	6	7	0	11	15	38
cpp-good	assign	assign.html	36	22	28	35	33	34	21	28	36	45
cpp-good	assign-deferred	assign-deferred.html	6	1	1	1	6	6	0	3	5	4
cpp-good	assign-dialects	assign-dialects.html	4	0	0	0	1	3	0	1	2	1
cpp-good	assign-extended	assign-extended.html	23	0	0	13	7	8	1	13	18	36
cpp-good	background	background.html	23	17	19	12	20	21	9	12	9	23
cpp-good	ble-features	ble-features.html	9	0	0	2	2	3	0	3	6	5
cpp-good	ble-idioms	ble-idioms.html	25	6	8	15	18	18	2	18	19	21
cpp-good	ble-unset	ble-unset.html	0	3	3	2	4	1	2	2	0	3
cpp-good	blog1	blog1.html	8	7	8	7	6	7	0	2	4	5
cpp-good	blog2	blog2.html	8	5	3	5	7	8	7	2	7	8
cpp-good	brace-expansion	brace-expansion.html	46	8	8	38	32	32	38	42	31	50
cpp-good	bugs	bugs.html	21	12	13	18	17	17	12	16	18	26
cpp-good	builtin-bash	builtin-bash.html	13	0	1	0	0	0	1	0	10	9
cpp-good	builtin-bind	builtin-bind.html	9	0	0	0	0	0	0	1	1	2
cpp-good	builtin-bracket	builtin-bracket.html	49	42	44	37	45	48	40	44	42	52
cpp-good	builtin-cd	builtin-cd.html	26	22	22	23	18	18	14	17	22	23
cpp-good	builtin-completion	builtin-completion.html	42	0	0	0	1	1	0	16	29	48
cpp-good	builtin-dirs	builtin-dirs.html	16	0	0	11	0	0	0	0	16	16
cpp-good	builtin-echo	builtin-echo.html	27	9	20	21	20	21	14	19	23	27
cpp-good	builtin-eval-source	builtin-eval-source.html	19	8	12	13	12	13	9	15	15	22
cpp-good	builtin-fc	builtin-fc.html	0	0	0	0	0	0	0	0	0	9
cpp-good	builtin-getopts	builtin-getopts.html	22	18	20	12	17	17	0	13	7	21
cpp-good	builtin-history	builtin-history.html	0	0	0	0	0	0	0	0	0	8
cpp-good	builtin-kill	builtin-kill.html	2	0	0	2	1	1	0	0	0	0
cpp-good	builtin-meta	builtin-meta.html	15	8	8	11	13	12	1	7	11	17
cpp-good	builtin-meta-assign	builtin-meta-assign.html	6	1	3	4	5	5	0	0	4	11
cpp-good	builtin-misc	builtin-misc.html	3	3	4	3	3	3	2	2	3	7
cpp-good	builtin-printf	builtin-printf.html	51	34	32	36	32	34	33	13	34	40
cpp-good	builtin-process	builtin-process.html	21	17	20	20	19	19	6	8	17	26
cpp-good	builtin-read	builtin-read.html	46	16	38	17	29	30	0	21	31	49
cpp-good	builtin-special	builtin-special.html	6	7	5	7	9	10	4	4	7	10
cpp-good	builtin-times	builtin-times.html	1	1	1	1	1	1	0	0	1	1
cpp-good	builtin-trap	builtin-trap.html	22	18	20	14	18	19	0	13	8	20
cpp-good	builtin-trap-bash	builtin-trap-bash.html	22	1	1	4	1	1	0	1	1	16
cpp-good	builtin-trap-err	builtin-trap-err.html	20	3	17	11	14	15	3	3	3	20
cpp-good	builtin-type	builtin-type.html	4	3	3	1	2	2	0	2	2	6
cpp-good	builtin-type-bash	builtin-type-bash.html	28	0	1	8	5	5	0	11	29	28
cpp-good	builtin-vars	builtin-vars.html	35	19	21	25	25	25	19	24	25	37
cpp-good	case_	case_.html	13	9	9	10	11	12	4	11	10	11
cpp-good	command_	command_.html	12	13	14	12	12	12	9	10	11	14
cpp-good	command-parsing	command-parsing.html	4	5	5	5	5	5	4	4	4	2
cpp-good	command-sub	command-sub.html	29	29	30	24	27	27	13	28	15	30
cpp-good	command-sub-ksh	command-sub-ksh.html	0	0	0	0	4	4	0	0	0	0
cpp-good	comments	comments.html	2	2	2	2	2	2	2	2	2	2
cpp-good	dbracket	dbracket.html	49	7	20	35	36	36	17	36	40	50
cpp-good	divergence	divergence.html	2	2	2	1	1	1	1	1	1	0
cpp-good	dparen	dparen.html	13	0	0	6	10	10	3	11	9	14
cpp-good	empty-bodies	empty-bodies.html	1	1	1	3	2	2	3	3	3	3
cpp-good	errexit	errexit.html	34	29	30	32	35	35	13	12	14	35
cpp-good	errexit-osh	errexit-osh.html	15	9	14	10	10	11	11	13	13	35
cpp-good	exit-status	exit-status.html	7	5	5	5	7	7	6	6	4	8
cpp-good	explore-parsing	explore-parsing.html	4	4	4	5	5	5	3	3	4	5
cpp-good	extglob-files	extglob-files.html	22	0	0	2	18	18	2	14	19	18
cpp-good	extglob-match	extglob-match.html	29	0	0	2	22	26	1	23	28	25
cpp-good	fatal-errors	fatal-errors.html	0	0	0	2	5	5	0	0	3	5
cpp-good	for-expr	for-expr.html	8	0	0	8	0	0	0	3	5	9
cpp-good	func-parsing	func-parsing.html	12	11	11	5	9	9	14	8	12	14
cpp-good	glob	glob.html	31	24	27	20	26	28	16	24	27	29
cpp-good	glob-bash	glob-bash.html	8	0	0	0	0	0	0	5	2	7
cpp-good	globignore	globignore.html	14	0	0	0	0	0	0	0	0	0
cpp-good	globstar	globstar.html	4	0	0	3	1	1	0	4	1	1
cpp-good	here-doc	here-doc.html	33	31	32	27	32	32	22	23	31	31
cpp-good	if_	if_.html	5	5	5	4	5	5	4	5	5	5
cpp-good	interactive	interactive.html	0	0	1	0	0	0	0	0	5	18
cpp-good	introspect	introspect.html	12	0	2	1	1	1	1	2	4	13
cpp-good	let	let.html	2	0	1	0	1	1	0	2	1	0
cpp-good	loop	loop.html	23	23	23	21	23	24	16	15	15	29
cpp-good	nameref	nameref.html	25	2	2	3	13	13	2	3	3	25
cpp-good	nix-idioms	nix-idioms.html	6	0	0	0	1	0	0	1	3	5
cpp-good	nocasematch-match	nocasematch-match.html	6	3	3	2	3	3	3	3	6	6
cpp-good	nul-bytes	nul-bytes.html	16	6	13	2	14	14	1	0	2	11
cpp-good	osh-bugs	osh-bugs.html	0	0	0	0	0	0	0	0	0	2
cpp-good	parse-errors	parse-errors.html	21	21	22	5	7	7	21	14	12	24
cpp-good	pipeline	pipeline.html	24	16	17	19	21	20	12	23	23	24
cpp-good	posix	posix.html	15	15	15	13	13	13	7	13	14	15
cpp-good	print-source-code	print-source-code.html	4	0	0	4	4	4	0	4	4	4
cpp-good	process-sub	process-sub.html	5	0	5	5	0	0	2	3	5	9
cpp-good	prompt	prompt.html	31	0	0	0	6	0	0	0	21	25
cpp-good	quote	quote.html	32	22	31	25	26	26	31	32	28	34
cpp-good	redirect	redirect.html	34	19	27	31	29	29	18	22	29	35
cpp-good	redirect-command	redirect-command.html	22	19	20	18	21	21	19	16	19	23
cpp-good	redirect-multi	redirect-multi.html	11	1	4	4	4	3	8	9	8	13
cpp-good	redir-order	redir-order.html	4	3	3	4	4	4	2	4	3	3
cpp-good	regex	regex.html	35	2	10	16	6	6	11	23	30	37
cpp-good	serialize	serialize.html	7	0	0	3	4	4	0	2	6	7
cpp-good	sh-func	sh-func.html	11	10	10	12	11	11	11	9	10	11
cpp-good	sh-options	sh-options.html	34	16	18	19	21	21	9	13	27	44
cpp-good	sh-options-bash	sh-options-bash.html	8	1	1	1	1	1	1	2	7	6
cpp-good	sh-usage	sh-usage.html	12	10	11	12	9	9	7	8	9	14
cpp-good	smoke	smoke.html	18	18	18	17	18	18	16	18	17	18
cpp-good	subshell	subshell.html	2	2	2	2	2	2	2	2	2	2
cpp-good	temp-binding	temp-binding.html	2	2	2	2	1	2	1	1	2	3
cpp-good	tilde	tilde.html	12	9	12	11	12	12	3	9	5	13
cpp-good	toysh	toysh.html	8	0	1	1	1	3	3	6	5	4
cpp-good	toysh-posix	toysh-posix.html	18	17	19	10	19	19	12	14	15	16
cpp-good	type-compat	type-compat.html	4	0	0	1	1	1	1	1	2	2
cpp-good	unicode	unicode.html	7	0	1	5	3	3	0	0	2	7
cpp-good	var-num	var-num.html	6	6	6	6	6	6	7	6	7	7
cpp-good	var-op-bash	var-op-bash.html	22	2	2	3	4	3	10	8	20	18
cpp-good	var-op-len	var-op-len.html	5	2	4	5	3	4	2	4	2	8
cpp-good	var-op-patsub	var-op-patsub.html	27	0	14	21	19	20	12	15	20	26
cpp-good	var-op-slice	var-op-slice.html	20	0	6	15	5	8	6	12	13	20
cpp-good	var-op-strip	var-op-strip.html	29	21	22	23	20	25	12	21	24	29
cpp-good	var-op-test	var-op-test.html	35	20	20	23	27	28	10	20	22	34
cpp-good	var-ref	var-ref.html	26	0	0	5	2	3	5	16	21	31
cpp-good	vars-bash	vars-bash.html	0	0	0	0	0	0	0	0	1	0
cpp-good	vars-special	vars-special.html	38	17	21	28	21	21	20	25	26	38
cpp-good	var-sub	var-sub.html	5	4	5	3	4	4	2	5	5	6
cpp-good	var-sub-quote	var-sub-quote.html	38	34	35	29	37	37	13	35	24	39
cpp-good	whitespace	whitespace.html	5	5	3	4	3	3	1	3	3	3
cpp-good	word-eval	word-eval.html	8	6	6	5	8	8	5	8	7	8
cpp-good	word-split	word-split.html	50	49	49	18	48	49	30	46	34	48
cpp-good	xtrace	xtrace.html	11	4	9	4	7	7	3	4	12	15
cpp-good	zsh-assoc	zsh-assoc.html	3	0	0	7	1	1	0	3	3	2
cpp-good	zsh-idioms	zsh-idioms.html	3	2	2	2	2	2	2	3	2	3
